DC2022BCA0004,DC2022BCA0004,2024-05-26 19:14:43.860858
DC2022BCA0004,DC2022BCA0004,2024-05-26 19:15:07.008551
DC2022BCA0013,DC2022BCA0013,2024-05-26 19:18:26.505217
DC2022BCA0004,DC2022BCA0004,2024-05-26 19:19:01.707010
DC2022BCA0004,DC2022BCA0004,2024-05-26 19:20:14.526063
DC2022BCA0013,DC2022BCA0013,2024-05-26 19:21:55.255027
DC2022BCA0024,DC2022BCA0024,2024-05-26 19:22:26.484454
DC2022BCA0004,DC2022BCA0004,2024-05-26 19:23:04.158274
DC2022BCA0004,DC2022BCA0004,2024-05-26 19:23:18.501779
DC2022BCA0004,DC2022BCA0004,2024-05-26 19:26:02.217017
DC2022BCA0004,DC2022BCA0004,2024-05-26 19:26:13.158300
DC2022BCA0013,DC2022BCA0013,2024-05-29 21:20:03.001875
DC2022BCA0004,DC2022BCA0004,2024-05-29 21:20:03.159116
DC2022BCA0004,DC2022BCA0004,2024-05-29 21:40:58.666554
DC2022BCA0032,DC2022BCA0032,2024-05-29 21:41:14.420367
DC2022BCA0013,DC2022BCA0013,2024-05-29 21:41:16.832105
DC2022BCA0031,DC2022BCA0031,2024-05-29 21:42:09.517931
DC2022BCA0001,DC2022BCA0001,2024-05-29 21:42:10.718510
DC2022BCA0017,DC2022BCA0017,2024-05-29 21:42:10.914872
DC2022BCA0019,DC2022BCA0019,2024-05-29 21:42:15.318979
DC2022BCA0024,DC2022BCA0024,2024-05-29 21:42:25.126861
